workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{e5fabdbe-e17d-4543-a963-28cdff0c09c5},{502fb901-e8bd-442e-98e9-27a5881b7ef2},COMPLETED,Deploy to QA,487
solutionsmetrixcrmdev,esl,{21858a64-79ce-4580-a809-381b6ccc7aa4},{510f3aac-41a6-4344-ab00-7a79b140320a},COMPLETED,Deploy to UAT,483
solutionsmetrixcrmdev,esl,{5ad5252e-8b5f-4eee-93e5-4c1f26b8bedf},{832b956f-e13b-498f-9747-374c7dc51b9d},COMPLETED,Deploy to QA,797
solutionsmetrixcrmdev,esl,{30000bad-03ef-464e-a8f0-b47d476daa1f},{211f56fd-4ba7-4002-a6d2-b116a5630d3d},COMPLETED,Deploy to QA,601
solutionsmetrixcrmdev,esl,{f2ec8150-c6c7-42d1-a640-752ae6aedc41},{62bc0e23-f10a-4a4d-88ca-2725b5c56ccc},COMPLETED,Deploy to QA,665
solutionsmetrixcrmdev,esl,{fb065b7a-6daf-46ab-a9cf-b46455412b97},{76fa39a2-26f0-4fc4-a051-f5b77438a19d},COMPLETED,Deploy to QA,723
solutionsmetrixcrmdev,esl,{23463d92-c66e-4dc7-bf72-a257387c578c},{6abc8759-918f-4458-82a0-4ab76481b0e4},COMPLETED,Deploy to QA,2183
solutionsmetrixcrmdev,esl,{2009892d-8ece-41dc-b6ab-9cf45a6cd0ad},{8bfd4590-9b77-4eda-947e-7c71c6b33fdb},COMPLETED,Deploy to QA,454
solutionsmetrixcrmdev,esl,{ded17217-2f18-4455-84d6-a7f972ca52b3},{d93ac417-223d-47a9-90e5-c159542d189f},COMPLETED,Deploy to QA,396
solutionsmetrixcrmdev,esl,{26041e46-1717-4033-9de9-fd0bd38600a3},{cd2c7488-be8c-4fc4-b4ff-e383148b6e8c},COMPLETED,Deploy to QA,462
solutionsmetrixcrmdev,esl,{feabfaaa-5130-4eba-a0c6-57c9ea66d7af},{0191ff11-e04e-4d8d-a189-1a1d890cfa9f},COMPLETED,Deploy to QA,601
solutionsmetrixcrmdev,esl,{d85f8993-b22a-416d-a740-72b4fc65b4eb},{2fd4fb29-61b4-4933-bbb5-8e09259e3dd0},COMPLETED,Deploy to QA,536
solutionsmetrixcrmdev,esl,{0410f49c-4b3b-44ee-94e2-afa1e4593b35},{1de69462-0ea1-4b31-9996-51087005187e},COMPLETED,Deploy to QA,476
solutionsmetrixcrmdev,esl,{6a9dd18b-bc23-4f97-9365-c49279e348a0},{ba3c0d70-33aa-421e-ad8a-a962c666ef77},COMPLETED,Deploy to UAT,536
solutionsmetrixcrmdev,esl,{6a2068f0-4705-4ffd-b419-3a1fefa7b8ba},{336bd317-2465-4968-a737-5251fc51bb2f},COMPLETED,Deploy to QA,752
solutionsmetrixcrmdev,esl,{39e2311c-e822-46f0-b951-dc017cc885ec},{5679576c-b8a6-4d07-9693-9e95bf90e9fd},COMPLETED,Deploy to QA,484
solutionsmetrixcrmdev,esl,{09b5fe62-0ccf-40c9-9e56-026b11e6f677},{2501bec3-5261-4475-850b-43bf6a7e9a74},COMPLETED,Deploy to QA,476
solutionsmetrixcrmdev,esl,{ca5f9809-d06b-4070-a812-d2a938764a57},{89436b7c-d9ed-44f2-be5d-5843f3ff0d97},COMPLETED,Deploy to QA,520
